real,predicho,probabilidad_riesgo
1,1,0.5572830829278155
1,1,0.6071841674087033
1,1,0.6823701193189602
0,1,0.5054148364416917
0,0,0.1347179794669863
0,0,0.15320059110748369
0,0,0.19032464424259052
1,0,0.3981430621993257
0,0,0.16571907055401455
0,0,0.2571041460813419
1,1,0.6104498125761842
1,1,0.8533005874743407
1,0,0.47626788924346086
0,1,0.7288854318456962
1,1,0.5129994347845852
1,1,0.7254601550425823
1,0,0.24711727567499225
0,0,0.48512360821552747
1,1,0.7691249479690347
1,1,0.807286147485847
1,1,0.8117731115695874
1,1,0.8076512573876204
1,1,0.9415099762640351
1,1,0.8113588435033275
1,1,0.6741435985918794
1,1,0.5619575120467252
1,1,0.8545785610282348
1,1,1.0
0,0,0.0
0,0,0.0
0,0,0.07508612283989877
0,0,0.052349817758727074
1,0,0.4693565179992063
0,0,0.15356160617104467
0,0,0.48990728540253015
0,0,0.4937224593142595
0,0,0.4171279151399162
1,0,0.3060529744669098
0,0,0.24932449834653805
0,0,0.4106659037341259
0,0,0.0
0,0,0.0
0,0,0.19714752589603515
0,0,0.0
0,0,0.0
0,0,0.1157232328535654
0,0,0.10376316406306961
0,0,0.06094579695244004
0,0,0.0
0,0,0.04357367747099046
0,0,0.01811949944268386
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.20350269003260169
0,0,0.46130354594999334
1,0,0.49353236969702313
0,0,0.3687512506206245
1,1,0.532487921210623
1,0,0.37468400613355535
1,0,0.48567163684720666
0,0,0.35160535688478467
1,0,0.4906492015261132
0,0,0.04670708662930398
0,0,0.41423755238399784
1,0,0.3796621831601001
0,1,0.6406313415776195
1,1,0.5608654373424997
1,0,0.4613562850500224
0,0,0.46716179418102627
0,0,0.22782647419461838
0,0,0.4858882959354925
0,1,0.523998121787578
0,0,0.3191584233855951
0,0,0.41126896324772083
0,0,0.20028741268511993
1,0,0.4514503669541548
1,0,0.43951917811737823
1,0,0.45870068110230244
0,0,0.1801945110612196
0,0,0.3400917783182251
0,0,0.34114330545909316
0,0,0.45731705564472547
1,0,0.402378894462796
1,1,0.545906045320183
1,0,0.4655789587837393
0,0,0.2911713352354735
0,0,0.48124338088624513
0,0,0.3422844129701255
0,0,0.46256311203270184
0,0,0.4519501328168591
0,0,0.33882062207151936
0,0,0.3182174222296028
0,0,0.48456028450173233
0,0,0.452024692599073
0,0,0.0
0,0,0.3227392612929909
0,0,0.002374537952910011
0,0,0.09666204029439911
0,0,0.08287027242785959
0,0,0.0
0,0,0.0
0,0,0.0548221918979393
0,0,0.1067193605421914
0,0,0.0
0,0,0.03921467177674973
0,0,0.0481698435294754
0,0,0.35219719919764325
0,0,0.0
0,0,0.07754425408883288
0,0,0.13365040822200897
0,0,0.21060419374372003
0,0,0.09733864433909203
0,0,0.007077394586307073
0,0,0.05421550604402248
0,0,0.09233971347465504
0,0,0.17654051543664978
0,0,0.1925861212449977
0,0,0.06276112619677132
0,0,0.0
0,0,0.10585771514376914
0,0,0.0
0,0,0.20893465240996612
0,0,0.18463249604008491
0,0,0.08265417097641536
0,0,0.08489180700739181
0,0,0.0
0,0,0.0
0,0,0.17813090484885855
0,0,0.10785680336630907
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.046407880884055674
0,0,0.0
0,0,0.19061739634975272
1,0,0.22788593745387156
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
