ANIO,CCDD,CCPP,CCDI,CONGLOMERADO,NSELUA,UA,costo_semilla,costo_abono,costo_fertilizantes,costo_plaguicidas,factor_cost,produccion_kg,venta_kg,area_cosechada_ha,area_sembrada_ha,plantas_cosechadas,venta_valor_soles,precio_chacra_kg,factor_prod,P204_TIPO,P205_TOT,P206_INI_MES,P206_INI_ANIO,P207_FIN_MES,P207_FIN_ANIO,P208,P211_1,P211_2,P211_3,P211_4,P211_5,P211_8,P212,P213,P214,P215,P221_1,P221_2,P222_1,P222_2,P222_3,P222_4,P222_5,P222_6,P222_7,P219_UM,costo_total,costo_por_kg,FACTOR_PRODUCTOR,rendimiento_kg_ha,densidad_plantas_ha,porcentaje_vendido,costo_abono_kg,costo_fertilizantes_kg,costo_plaguicidas_kg,participacion_fertilizantes,participacion_plaguicidas,duracion_cosecha_meses,es_outlier,P209_MES,P209_ANIO,P223_1,P223_2,P223_3,P223_4,P223_5,P223_6,P223A,P223B_1,P223B_2,P223B_3,P223B_4,P223B_5,P223B_6,P223B_7,P223B_8,NSEGM,ID_PROD
2021,13,01,06,07436,00040,3,0.0,0.0,30.0,40.0,97.2392857142857,605.0,500.0,0.04,0.0,10,2400.0,4.8,97.2392857142857,2,1,5,2021,7,2021,3,1,1,1,1,0,0,2,7,,,1,0,1,0,0,0,0,0,0,KILOGRAMO,70.0,0.11570247933884298,97.2392857142857,15125.0,250.0,0.8264462809917356,0.0,0.049586776859504134,0.06611570247933884,0.42857142857142855,0.5714285714285714,3,0,,,,,,,,,,,,,,,,,,,
2021,13,01,06,07436,00059,5,0.0,0.0,15.0,10.0,97.2392857142857,200.0,175.0,0.016,0.0,4,840.0,4.8,97.2392857142857,2,1,1,2021,4,2021,3,1,1,1,1,0,0,2,7,,,1,1,0,0,0,0,0,1,0,CIENTOS,25.0,0.125,97.2392857142857,12500.0,250.0,0.875,0.0,0.075,0.05,0.6,0.4,4,0,,,,,,,,,,,,,,,,,,,
2021,13,01,06,07436,00091,7,0.0,1000.0,2800.0,1500.0,97.2392857142857,20500.0,20000.0,2.1,0.0,1400,80000.0,4.0,97.2392857142857,2,1,5,2021,6,2021,1,1,1,1,1,0,0,2,7,,,1,0,0,1,0,0,0,0,0,TONELADA,5300.0,0.25853658536585367,97.2392857142857,9761.904761904761,666.6666666666666,0.975609756097561,0.04878048780487805,0.13658536585365855,0.07317073170731707,0.5283018867924528,0.2830188679245283,2,0,,,,,,,,,,,,,,,,,,,
2021,13,01,06,07436,00094,8,0.0,0.0,30.0,20.0,97.2392857142857,200.0,120.0,0.02,0.0,10,120.0,1.0,97.2392857142857,2,1,2,2021,5,2021,3,1,1,0,1,0,0,2,7,,,1,0,0,1,0,0,0,0,0,CIENTOS,50.0,0.25,97.2392857142857,10000.0,500.0,0.6,0.0,0.15,0.1,0.6,0.4,4,0,,,,,,,,,,,,,,,,,,,
2021,13,01,06,07436,00104,10,0.0,2.0,0.0,0.0,97.2392857142857,40.0,0.0,0.004,0.0,2,0.0,,97.2392857142857,2,1,7,2021,8,2021,3,1,1,0,0,0,0,2,7,,,,,,,,,,,,CIENTOS,2.0,0.05,97.2392857142857,10000.0,500.0,0.0,0.05,0.0,0.0,0.0,0.0,2,0,,,,,,,,,,,,,,,,,,,
2021,13,01,06,07436,00110,11,0.0,2.0,0.0,0.0,97.2392857142857,45.0,0.0,0.003,0.0,3,0.0,,97.2392857142857,2,1,5,2021,8,2021,3,0,0,0,0,0,0,2,7,,,,,,,,,,,,UNIDADES,2.0,0.044444444444444446,97.2392857142857,15000.0,1000.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,4,0,,,,,,,,,,,,,,,,,,,
2021,13,01,07,07455,00021,1,0.0,1.0,0.0,0.0,97.2392857142857,25.0,0.0,0.002,0.0,1,0.0,,97.2392857142857,2,1,4,2021,7,2021,3,1,1,0,0,0,0,2,7,,,,,,,,,,,,CIENTOS,1.0,0.04,97.2392857142857,12500.0,500.0,0.0,0.04,0.0,0.0,0.0,0.0,4,0,,,,,,,,,,,,,,,,,,,
2021,13,01,07,07455,00023,2,0.0,1.0,1.0,0.0,97.2392857142857,10.0,0.0,0.001,0.0,1,0.0,,97.2392857142857,2,1,8,2021,8,2021,3,0,0,0,0,0,0,4,2,,,,,,,,,,,,UNIDADES,2.0,0.2,97.2392857142857,10000.0,1000.0,0.0,0.1,0.1,0.0,0.5,0.0,1,0,,,,,,,,,,,,,,,,,,,
2021,13,01,07,07455,00026,3,0.0,1.0,0.0,0.0,97.2392857142857,10.0,0.0,0.001,0.0,1,0.0,,97.2392857142857,2,1,7,2021,8,2021,3,0,1,0,0,0,0,4,8,,,,,,,,,,,,UNIDADES,1.0,0.1,97.2392857142857,10000.0,1000.0,0.0,0.1,0.0,0.0,0.0,0.0,2,0,,,,,,,,,,,,,,,,,,,
2021,13,01,07,07455,00045,4,0.0,1.0,0.0,0.0,97.2392857142857,37.5,0.0,0.002,0.0,1,0.0,,97.2392857142857,2,1,11,2020,11,2020,3,0,0,0,0,0,0,7,8,,,,,,,,,,,,UNIDADES,1.0,0.02666666666666667,97.2392857142857,18750.0,500.0,0.0,0.02666666666666667,0.0,0.0,0.0,0.0,1,0,,,,,,,,,,,,,,,,,,,
2021,13,01,07,07455,00065,6,0.0,1.0,0.0,0.0,97.2392857142857,27.0,0.0,0.002,0.0,2,0.0,,97.2392857142857,2,1,7,2021,8,2021,3,0,1,0,0,0,0,2,7,,,,,,,,,,,,UNIDADES,1.0,0.037037037037037035,97.2392857142857,13500.0,1000.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,2,0,,,,,,,,,,,,,,,,,,,
2021,13,01,07,07455,00077,7,0.0,1.0,0.0,0.0,97.2392857142857,20.0,0.0,0.002,0.0,1,0.0,,97.2392857142857,2,1,2,2021,3,2021,3,0,1,0,0,0,0,2,7,,,,,,,,,,,,UNIDADES,1.0,0.05,97.2392857142857,10000.0,500.0,0.0,0.05,0.0,0.0,0.0,0.0,2,0,,,,,,,,,,,,,,,,,,,
2021,13,01,07,07455,00092,8,0.0,4.0,15.0,13.0,97.2392857142857,195.0,0.0,0.013,0.0,8,0.0,,97.2392857142857,2,1,6,2021,7,2021,2,0,1,0,0,0,0,2,7,,,,,,,,,,,,UNIDADES,32.0,0.1641025641025641,97.2392857142857,15000.0,615.3846153846154,0.0,0.020512820512820513,0.07692307692307693,0.06666666666666667,0.46875,0.40625,2,0,,,,,,,,,,,,,,,,,,,
2021,13,01,07,07455,00104,9,0.0,1.0,2.0,0.0,97.2392857142857,37.5,1.5,0.002,0.0,2,10.0,6.6667,97.2392857142857,2,1,7,2021,8,2021,3,0,1,0,0,0,0,2,7,,,1,0,0,0,0,0,0,1,0,UNIDADES,3.0,0.08,97.2392857142857,18750.0,1000.0,0.04,0.02666666666666667,0.05333333333333334,0.0,0.6666666666666666,0.0,2,0,,,,,,,,,,,,,,,,,,,
