fecha,real,predicho,residuo
2024-08-01,7.506157897387225,7.750610526156391,-0.2444526287691664
2024-05-01,6.292154029637402,5.9284223448483635,0.3637316847890384
2023-04-01,5.4822821408110745,5.244152018396787,0.23813012241428755
2024-04-01,5.766494830027087,5.472470858170318,0.29402397185676854
2024-07-01,6.996397228427226,6.946215730335207,0.05018149809201855
2024-03-01,7.196108153158466,7.106104686483487,0.09000346667497894
2023-06-01,4.891201602115872,4.074049336618228,0.8171522654976444
2024-03-01,7.009049172996038,7.202856924744566,-0.19380775174852793
2024-10-01,7.055572916666667,7.624489223513823,-0.5689163068471563
2024-06-01,6.848353110097791,6.838998682442905,0.00935442765488581
2024-05-01,6.213674150266938,5.994673454726643,0.219000695540295
2023-04-01,5.317664654472277,5.433448319205465,-0.11578366473318802
2024-08-01,7.552324564053892,7.451321065485997,0.10100349856789492
2024-03-01,6.444705056394545,6.702032283687822,-0.25732722729327673
2024-05-01,5.7924965624226825,5.647278876348649,0.14521768607403374
2024-03-01,6.034911241961555,6.933631018402278,-0.8987197764407231
2024-05-01,6.184291434217554,6.109210715927602,0.07508071828995266
2023-05-01,4.340023632140552,3.295739607435083,1.044284024705469
2024-08-01,6.138507897387225,7.184447898287851,-1.045940000900626
2024-04-01,5.847014310546567,5.759567661800949,0.08744664874561803
2024-06-01,6.9495459884360695,6.8611315582086725,0.08841443022739703
2024-05-01,6.289937588063709,6.784536859773922,-0.49459927171021345
2023-03-01,6.527225159817674,6.534484504426019,-0.007259344608344875
2024-08-01,6.767291230720558,7.342749400821473,-0.5754581701009149
2024-08-01,7.158314808626576,7.142537063633528,0.015777744993048515
2023-05-01,3.471234812264776,3.552883900157032,-0.08164908789225622
2023-03-01,6.980873584361621,6.226711578396631,0.7541620059649903
2024-05-01,5.655412516838638,5.513099743411635,0.14231277342700288
2024-07-01,6.9051412020159,6.662977039603689,0.2421641624122115
2023-04-01,5.778779725352138,6.219484689361893,-0.4407049640097558
2024-03-01,7.119648084066818,6.787621997206935,0.3320260868598828
2024-04-01,6.257300024832281,6.28184598987529,-0.024545965043008877
2023-07-01,4.602925235844258,4.556557554509137,0.046367681335120814
2024-05-01,6.376791434217555,5.4484422802268275,0.9283491539907276
2023-07-01,5.2840117549589465,4.799620049828594,0.4843917051303528
2024-04-01,3.650585739117996,5.0493242779138265,-1.3987385387958304
2024-06-01,7.097488245232926,6.168449801406177,0.9290384438267489
2024-04-01,5.153655914556592,5.2836715668289935,-0.13001565227240164
2024-08-01,7.678172390140848,7.657035798534569,0.0211365916062789
2024-08-01,7.297808303891291,7.316976750025706,-0.019168446134415262
2024-03-01,7.118244575294888,6.79383635618779,0.32440821910709783
2024-04-01,5.725585739117996,5.359150454245664,0.366435284872332
2024-05-01,6.289291434217555,6.536283558543814,-0.24699212432625917
2023-01-01,5.044757326007326,4.932266555243716,0.11249077076360958
2024-05-01,5.736965852822206,5.715850454031506,0.021115398790700013
2024-06-01,6.662353110097791,6.68155020546165,-0.019197095363859162
2023-12-01,7.35494283240426,7.6172521856440545,-0.2623093532397949
2024-05-01,5.934885115334381,5.5787879236836435,0.35609719165073717
2024-07-01,7.015537285543458,7.0830038096136665,-0.06746652407020814
2024-06-01,6.772745905034357,6.784412775286254,-0.011666870251897166
2023-06-01,4.7358169867312565,4.366064071021099,0.36975291571015756
2024-02-01,6.5407759503523,6.101596569771099,0.43917938058120054
2023-05-01,3.071452203569123,3.8239034287514264,-0.7524512251823032
2024-02-01,6.808995128434492,6.376394686597682,0.4326004418368097
2024-04-01,4.400585739117996,4.858241600753212,-0.45765586163521643
2024-05-01,5.539291434217555,5.588192129511831,-0.0489006952942761
2024-07-01,7.091031035543458,6.971301940354349,0.11972909518910946
2024-06-01,6.324723834043693,6.41548997404635,-0.09076614000265693
2024-08-01,7.540621230720559,7.720366236521921,-0.17974500580136255
2024-02-01,5.607544351232419,5.535731863927251,0.0718124873051682
2023-02-01,6.382160556011794,5.838630081722673,0.5435304742891205
2024-05-01,6.5717914342175545,5.913613310551384,0.6581781236661701
2024-07-01,6.922606010392553,7.292001237168034,-0.369395226775481
2023-04-01,5.907282140811075,5.343483933309203,0.5637982075018719
2023-03-01,6.786045998154725,6.314457853561612,0.47158814459311316
2024-02-01,6.548995128434492,6.307292806872607,0.24170232156188476
2024-05-01,6.039291434217555,5.517013857909685,0.5222775763078698
2024-04-01,4.869242881975138,5.662903510582609,-0.793660628607471
2024-03-01,7.598636732157633,7.431488188778862,0.16714854337877139
2023-07-01,4.724403757322779,3.990925841487464,0.7334779158353153
2024-01-01,7.636818339207843,7.2606730120214475,0.3761453271863955
2024-06-01,7.212353110097791,7.062748637816706,0.14960447228108453
2024-05-01,5.396030564652337,5.565146021889166,-0.16911545723682941
2023-07-01,4.820937658204507,4.823727288513308,-0.0027896303088015273
2024-04-01,5.747807961340218,5.813141967229884,-0.06533400588966565
2024-04-01,6.438919072451329,5.887954679092542,0.5509643933587869
2023-04-01,5.190615474144408,5.504984562966241,-0.3143690888218327
2023-02-01,5.9891118422734255,5.802378899716213,0.18673294255721284
2024-06-01,7.372161452826088,6.653877809912734,0.7182836429133541
2024-05-01,6.214758723937181,5.883934851659125,0.33082387227805565
2024-05-01,6.560341434217555,5.421972263962118,1.1383691702554364
2023-03-01,6.2558735843616216,6.166173962255452,0.08969962210616966
2023-03-01,3.1586513621393992,5.920749407382001,-2.7620980452426016
2024-08-01,7.909241230720559,8.083242331155754,-0.1740011004351949
2024-08-01,7.55452969225902,7.519892643168855,0.03463704909016574
2023-02-01,6.622284012801917,6.4478776014817685,0.1744064113201489
2024-08-01,6.334020397387225,7.619858437140249,-1.285838039753024
2024-07-01,7.13541662140427,6.316578954588712,0.8188376668155577
2024-09-01,6.607050686904684,6.817155153335601,-0.2101044664309164
2024-04-01,6.353171946014547,5.972261854264516,0.38091009175003165
2024-08-01,7.343824564053892,6.893764267710898,0.45006029634299427
2024-04-01,5.121510739117996,5.180376174029312,-0.058865434911315795
2024-04-01,5.350585739117996,5.211072307768508,0.13951343134948768
2024-06-01,6.962353110097791,6.895106513203479,0.06724659689431167
2024-04-01,5.289474628006884,5.274424788796894,0.015049839209989813
2024-06-01,6.767311987698178,6.608375696540872,0.158936291157306
2024-03-01,7.159911241961555,6.918362494477302,0.24154874748425303
2023-05-01,3.208062373060649,3.196646409768428,0.011415963292221054
2024-03-01,6.048800130850443,6.9806945117740735,-0.9318943809236302
2024-08-01,7.721674870225678,7.936766821188664,-0.21509195096298583
2024-04-01,6.197716886658979,5.672031390625678,0.5256854960333008
2024-07-01,7.13008077505245,7.374333922890545,-0.24425314783809515
2024-05-01,4.360369865590104,5.507583359030822,-1.1472134934407183
2023-06-01,4.628979379893649,4.3682155843373796,0.2607637955562696
2024-04-01,4.20198849299063,5.120200918816714,-0.9182124258260842
2024-06-01,6.242522432210869,6.367113217913072,-0.12459078570220328
2024-05-01,5.414291434217555,5.4484422802268275,-0.03415084600927276
2024-07-01,6.903860202210125,6.8473354271079625,0.05652477510216247
2024-05-01,6.092291434217555,5.778687125207046,0.3136043090105085
2024-03-01,6.515971848022161,6.653114461475486,-0.13714261345332446
2024-07-01,6.778860202210125,6.455093876305017,0.32376632590510823
2023-06-01,4.754826602115871,4.027437695870949,0.7273889062449221
2024-03-01,7.475917994570517,7.9563400346431505,-0.4804220400726331
2024-07-01,7.208761828226385,7.84711952994326,-0.6383577017168749
2024-02-01,6.024881653257187,6.183997460171925,-0.15911580691473848
2024-08-01,7.555588467158635,7.709017478390929,-0.15342901123229424
2024-04-01,5.800585739117996,5.751030923103215,0.049554816014780734
2023-12-01,7.700288836302896,7.245963304424845,0.4543255318780508
2024-09-01,6.598648894522309,6.680513978187555,-0.08186508366524592
2024-03-01,7.589259068048511,7.94888888781507,-0.3596298197665586
2024-05-01,6.291434291360412,5.1685063681224985,1.1229279232379135
2024-06-01,7.167100405282194,7.4573329186732575,-0.2902325133910635
2024-05-01,6.400461646983512,6.167093880639354,0.23336776634415823
2024-11-01,8.254089112641743,8.051039661797294,0.2030494508444498
2024-06-01,6.587353110097791,6.63959467513197,-0.05224156503417898
2023-01-01,5.96856684981685,5.212720686680384,0.7558461631364661
2024-04-01,4.175053824224379,5.137612987152366,-0.9625591629279873
2023-08-01,4.99714164116284,4.538874649060576,0.4582669921022644
2023-04-01,5.273948807477741,5.415321776907656,-0.14137296942991462
2024-06-01,6.976638824383505,7.0029783116627184,-0.026339487279213536
2023-02-01,6.760904517364451,6.133851104913853,0.6270534124505982
2023-07-01,5.026734759653782,4.1995536941470775,0.8271810655067044
2024-02-01,5.998995128434492,5.69741826445109,0.301576863983402
2024-05-01,5.214291434217555,3.6848178335255395,1.529473600692015
2023-04-01,5.05252023604917,5.462757424074378,-0.41023718802520825
2024-07-01,7.178675529482026,6.650765484566935,0.5279100449150915
2023-08-01,5.411356731526728,4.599115763278332,0.8122409682483953
2024-03-01,7.066161241961555,7.061853066031725,0.004308175929829794
2024-03-01,7.514911241961554,6.768506059280659,0.7464051826808946
2023-03-01,5.7558735843616216,5.690709304270812,0.06516428009080943
2023-09-01,5.000777640518911,4.247865181312925,0.7529124592059864
2024-06-01,4.8837816815263615,6.17034253113642,-1.2865608496100585
2024-06-01,7.261686443431124,8.01415606438658,-0.7524696209554556
2024-06-01,7.157202011196691,7.351021218792267,-0.1938192075955758
2024-04-01,5.788085739117996,5.450431140918926,0.3376545981990695
2024-03-01,6.694002151052464,7.291776498057739,-0.5977743470052745
2024-02-01,6.686204430760073,6.292224722811015,0.39397970794905834
