modelo,solucion,MAE,RMSE,R2
Random Forest,FOB,0.3214583950999719,0.42540567311066596,0.24717206462559604
Hist Gradient Boosting,FOB,0.3188558491876756,0.42596680509957013,0.24518471715606582
Elasticnet,FOB,0.33098167926803995,0.4205198630465406,0.26436531100862515
Random Forest,Margen,0.3428322498137589,0.49817028758556803,0.7765655553059252
Hist Gradient Boosting,Margen,0.3815100199481799,0.5530178315225754,0.7246578164989839
Elasticnet,Margen,0.3922243350760695,0.5531768049203571,0.7244994911378679
Prophet,FOB,0.4096497315783394,0.5034829069477411,-0.05452925780593465
Prophet,Margen,0.43756015509366886,0.6574273701308762,0.7318406337939206
Ensemble,FOB,0.3141707616133283,0.4004582984059742,0.33288029773436434
