modelo,Accuracy,Precision,Recall,ROC AUC
Random Forest,0.8775510204081632,0.7567567567567568,0.7567567567567568,0.9611793611793612
Hist Gradient Boosting,0.8775510204081632,0.8518518518518519,0.6216216216216216,0.9557739557739557
Logistic Regression,0.8775510204081632,0.7111111111111111,0.8648648648648649,0.9646191646191646
Prophet,0.8571428571428571,0.8333333333333334,0.5405405405405406,0.9260442260442261
