real,predicho,probabilidad_riesgo
0,0,0.10756856449001247
1,0,0.00373715751832069
0,0,1.2302548569532712e-06
0,0,4.1654489197829685e-06
0,0,0.00030082536251553637
0,0,0.013105180716517511
0,0,4.5403299098931304e-05
0,0,2.819132262750096e-05
0,0,1.4733536594414023e-06
0,0,1.0487696066601718e-05
1,1,0.9933676600078323
1,1,0.9304596729381175
0,0,2.909818328502459e-05
0,0,4.5403299098931304e-05
1,0,0.45299058876361686
1,1,0.9977953744889598
0,0,5.967571404317359e-05
0,0,0.00014320604772216858
1,1,0.9305451290615729
0,0,1.7262593686012032e-05
0,0,0.00032788711212697113
0,0,2.1162389712394543e-06
0,0,5.107111370605253e-05
0,0,2.372732432271929e-06
0,0,0.18515368215395026
0,0,2.7678323016820183e-07
0,0,0.007731738078153069
0,0,1.9162826796236243e-05
0,0,1.240482088306136e-05
1,1,0.9865992933408738
1,1,0.997071712465391
0,0,0.0010171144975298146
1,0,0.03500995931497904
0,0,2.3823410452254557e-05
0,0,6.0234727773504655e-05
0,0,0.0001602544872027159
0,0,0.00027567399401455463
0,0,3.0042015367583363e-05
1,0,0.09515001474987696
0,0,9.934909939513277e-06
0,0,0.00018069469182077812
0,0,0.00013242740252539475
0,0,0.00018558070845418732
1,1,0.99781329305666
0,0,5.689685404989038e-06
1,0,0.2970999707764198
0,0,4.372213380165388e-06
0,0,0.021781289408456715
0,0,0.00033203491145764106
0,0,0.0038730757692222073
0,0,0.0007514682480732094
1,1,0.6876686160334595
0,0,2.057664899348093e-05
1,0,0.4785549344473242
0,0,0.056885383452035664
0,0,6.162989896588249e-06
0,0,3.45879696141026e-07
0,0,1.3475106012275466e-05
0,0,7.228882235667119e-05
0,0,1.1130653093204137e-06
0,0,4.5403299098931304e-05
0,1,0.8359478562029728
0,0,1.8991725156810601e-06
0,0,0.4311427350776339
0,0,2.6596344634912206e-05
0,0,0.002374907945513095
0,0,0.0024002860616036794
0,1,0.7848960115729168
0,0,1.1898774523709598e-05
0,0,0.38281486351538696
1,1,0.9989882129896951
0,0,0.0016348552584530003
0,0,0.0011678819837019191
1,1,0.9619661312870564
1,1,0.575901195942419
0,0,0.017258409905651393
0,0,0.0002351310209079371
0,0,1.8416866650299578e-05
1,0,0.02001645349613932
0,0,1.6896189200855275e-05
0,0,9.99985816765083e-05
0,0,8.398731988260056e-05
1,0,0.02170826896188529
0,0,0.012732619496547637
0,0,0.0006703997782579367
1,1,0.9595495475785782
1,0,0.35232546985559965
0,0,2.3679931727197817e-05
0,0,0.0005270356806618729
0,0,0.0003850015465149436
1,1,0.9004786813365467
0,0,2.392909680562202e-06
0,0,2.4261024577622642e-05
0,0,1.2434695956877963e-05
0,0,0.051462835696814896
0,0,5.178268022294302e-06
1,0,0.19615778407258258
0,0,2.6527745355706285e-05
0,0,0.0036240963898483817
0,0,0.0021161366679392554
1,1,0.9985457695669729
1,1,0.9993978571728821
0,0,0.0001700197228178533
1,1,0.9796986671988295
0,0,4.92801850921536e-05
0,0,0.0017176080976290388
1,1,0.5613836437718459
0,0,0.12653821218620684
0,0,0.00010111914734282982
0,0,5.178268022294302e-06
0,0,0.0003657948924181605
0,0,0.19503614267448305
0,0,0.00010694030788029171
0,0,1.2511219242774456e-05
0,0,4.133242229861146e-06
1,1,0.9742097996236098
1,0,0.2305251712057585
0,0,0.05948774379720129
0,0,3.787008996913911e-05
0,0,2.392909680562202e-06
0,0,7.747047189268674e-06
0,0,0.00034224283660788294
0,0,0.00010111914734282982
1,0,0.20883181215960622
0,0,0.0001205268480837513
0,0,0.0001384285821046049
0,0,0.34934122779773297
1,0,0.30201399838104714
1,1,0.9995928546295727
0,0,0.00019552513758423792
0,0,0.1151406718923395
1,1,0.993231163160864
0,0,0.2816807252975152
0,1,0.9276944911593966
1,1,0.9990688058455652
0,0,0.024176852977285772
1,0,0.008771451567594884
0,0,0.0001930150875409251
1,1,0.9992916005958734
0,1,0.7183011612894609
0,0,9.50772202012792e-06
0,0,0.00021479694945232365
0,0,0.004232700797815018
0,0,0.015559547820196293
1,1,0.7713676573891916
0,0,0.001513726989460168
0,0,0.0016268417096039723
