fecha,fecha_objetivo,fecha_futura,destino,temporada,precio_fob_por_kilogramo,semana_iso,log_volumen_exportado,precio_lag_1,precio_prom_movil_4,target_fob_6_semanas
2015-01-12,2015-02-23,2015-02-23,SPAIN,Verano,1.553011901870294,3,11.095483924851465,1.9496423700668228,1.9496423700668228,1.531271922132585
2015-01-12,2015-02-23,2015-02-23,UNITED KINGDOM,Verano,1.6147727272727272,3,9.958023085184141,1.9496423700668228,1.9496423700668228,1.6441784211828756
2015-01-19,2015-03-02,2015-03-02,ECUADOR,Verano,0.2,4,9.210440366976517,1.9496423700668228,1.9496423700668228,0.2149620471085374
2015-01-19,2015-03-02,2015-03-02,NETHERLANDS,Verano,1.533532475490196,4,11.08645630814811,1.9496423700668228,1.9496423700668228,1.8668335315482056
2015-01-19,2015-03-02,2015-03-02,SPAIN,Verano,1.4604464285714285,4,10.016860879703811,1.553011901870294,1.553011901870294,1.6646288430420713
2015-01-26,2015-03-09,2015-03-09,ECUADOR,Verano,0.2,5,9.210440366976517,0.2,0.2,0.2
2015-01-26,2015-03-09,2015-03-09,NETHERLANDS,Verano,1.7588541421372392,5,11.349617989357553,1.533532475490196,1.533532475490196,1.9748474251603707
2015-01-26,2015-03-09,2015-03-09,SPAIN,Verano,1.3217220598977355,5,10.687594554708582,1.4604464285714285,1.5067291652208612,1.5935962472535126
2015-02-02,2015-03-16,2015-03-16,ECUADOR,Verano,0.2,6,9.61587214452889,0.2,0.2,0.2
2015-02-02,2015-03-16,2015-03-16,NETHERLANDS,Verano,2.26385564697083,6,11.580219561021574,1.7588541421372392,1.6461933088137175,1.880804341879072
2015-02-02,2015-03-16,2015-03-16,SPAIN,Verano,1.780615790104229,6,11.332254545125242,1.3217220598977355,1.4450601301131527,1.711139287465729
2015-02-09,2015-03-23,2015-03-23,ECUADOR,Verano,0.2,7,10.67489123106184,0.2,0.2,0.2
2015-02-09,2015-03-23,2015-03-23,NETHERLANDS,Verano,1.8168589828331851,7,12.26342131904738,2.26385564697083,1.8520807548660885,1.8587018344491344
2015-02-09,2015-03-23,2015-03-23,SPAIN,Verano,1.504320903647251,7,11.387101437013163,1.780615790104229,1.5289490451109218,1.6408094249194234
2015-02-16,2015-03-30,2015-03-30,ECUADOR,Verano,0.2,8,10.331887631926788,0.2,0.2,0.2
2015-02-16,2015-03-30,2015-03-30,NETHERLANDS,Verano,1.9075487920213223,8,12.357165798740294,1.8168589828331851,1.8432753118578626,2.0203340108739027
2015-02-16,2015-03-30,2015-03-30,SPAIN,Verano,1.7492123950936087,8,11.950541482162043,1.504320903647251,1.516776295555161,1.6341270595071151
2015-02-16,2015-03-30,2015-03-30,UNITED KINGDOM,Verano,1.6187973484848486,8,9.958023085184141,1.6147727272727272,1.6147727272727272,1.7960458589076218
2015-02-23,2015-04-06,2015-04-06,ECUADOR,Verano,0.2000333574248068,9,10.896035374127038,0.2,0.2,0.2
2015-02-23,2015-04-06,2015-04-06,NETHERLANDS,Verano,1.800236355083355,9,12.98490657614874,1.9075487920213223,1.9367793909906443,1.889489162995194
2015-02-23,2015-04-06,2015-04-06,SPAIN,Verano,1.531271922132585,9,11.42117195271862,1.7492123950936087,1.5889677871857062,1.5252553580199684
2015-02-23,2015-04-06,2015-04-06,UNITED KINGDOM,Verano,1.6441784211828756,9,11.076851653667346,1.6187973484848486,1.6167850378787878,1.8069408352555305
2015-03-02,2015-04-13,2015-04-13,BELGIUM,Verano,1.8182291666666663,10,9.958023085184141,1.9496423700668228,1.9496423700668228,1.405467178643262
2015-03-02,2015-04-13,2015-04-13,ECUADOR,Verano,0.2149620471085374,10,11.065012040597225,0.2000333574248068,0.20000833935620171,0.2
2015-03-02,2015-04-13,2015-04-13,NETHERLANDS,Verano,1.8668335315482056,10,13.181707179321041,1.800236355083355,1.9471249442271732,1.7659662031274792
2015-03-02,2015-04-13,2015-04-13,RUSSIAN FEDERATION,Verano,1.4625,10,10.651146592342338,1.9496423700668228,1.9496423700668228,1.2375157828282828
2015-03-02,2015-04-13,2015-04-13,SPAIN,Verano,1.6646288430420713,10,12.194814509872982,1.531271922132585,1.6413552527444184,1.5724066658054514
2015-03-02,2015-04-13,2015-04-13,UNITED KINGDOM,Verano,1.5187267657992565,10,11.586185220346932,1.6441784211828756,1.6259161656468173,1.8456370672687972
2015-03-09,2015-04-20,2015-04-20,ECUADOR,Verano,0.2,11,11.22618961137882,0.2149620471085374,0.20374885113333607,0.2767295597484276
2015-03-09,2015-04-20,2015-04-20,NETHERLANDS,Verano,1.9748474251603707,11,13.484694097247202,1.8668335315482056,1.847869415371517,1.703680918506705
2015-03-09,2015-04-20,2015-04-13,RUSSIAN FEDERATION,Verano,1.5150094696969696,11,10.651146592342338,1.4625,1.4625,1.2375157828282828
2015-03-09,2015-04-20,2015-04-20,SPAIN,Verano,1.5935962472535126,11,12.31294302077613,1.6646288430420713,1.612358515978879,1.5617538548280343
2015-03-09,2015-04-20,2015-04-20,UNITED KINGDOM,Verano,1.7181046470600445,11,12.169019581327463,1.5187267657992565,1.599118815684927,2.042266899443455
2015-03-16,2015-04-27,2015-04-27,ECUADOR,Verano,0.2,12,9.17585244151751,0.2,0.20374885113333605,0.6060606060606061
2015-03-16,2015-04-27,2015-04-27,NETHERLANDS,Verano,1.880804341879072,12,13.984724078597148,1.9748474251603707,1.8873665259533134,1.643820827148938
2015-03-16,2015-04-27,2015-04-27,RUSSIAN FEDERATION,Verano,1.5168797348484848,12,11.344281935991242,1.5150094696969696,1.4887547348484849,1.4375
2015-03-16,2015-04-27,2015-04-27,SPAIN,Verano,1.711139287465729,12,12.882973567411716,1.5935962472535126,1.6346773518804445,1.5420748581836332
2015-03-16,2015-04-27,2015-04-27,UNITED KINGDOM,Verano,1.7542171703066525,12,12.277634880041804,1.7181046470600445,1.6249517956317563,1.8089474027122368
2015-03-23,2015-05-04,2015-05-04,BELGIUM,Otoño,1.9311875175184527,13,10.664597073768501,1.8182291666666663,1.8182291666666663,1.641454646017699
2015-03-23,2015-05-04,2015-05-04,ECUADOR,Otoño,0.2,13,10.620131509007471,0.2,0.20374885113333605,0.7272727272727273
2015-03-23,2015-05-04,2015-05-04,FRANCE,Otoño,1.85,13,9.958023085184141,1.9496423700668228,1.9496423700668228,2.306684981684981
2015-03-23,2015-05-04,2015-05-04,NETHERLANDS,Otoño,1.8587018344491344,13,14.212555650356201,1.880804341879072,1.880680413417751,1.6444016537378912
2015-03-23,2015-05-04,2015-05-04,RUSSIAN FEDERATION,Otoño,1.4365056818181818,13,11.056603809192042,1.5168797348484848,1.4981297348484848,1.5056660353535354
2015-03-23,2015-05-04,2015-05-04,SPAIN,Otoño,1.6408094249194234,13,13.024986463375372,1.711139287465729,1.6251590749734743,1.3473703171276652
2015-03-23,2015-05-04,2015-05-04,UNITED KINGDOM,Otoño,1.7028586460890915,13,12.560598782435825,1.7542171703066525,1.6588067510872073,2.023539927370746
2015-03-30,2015-05-11,2015-05-11,ECUADOR,Otoño,0.2,14,10.330746767679962,0.2,0.20374051177713434,0.2762810959532271
2015-03-30,2015-05-11,2015-05-04,"KOREA, REPUBLIC OF",Otoño,3.0,14,0.6931471805599453,3.0,3.0,3.5
2015-03-30,2015-05-11,2015-05-11,NETHERLANDS,Otoño,2.0203340108739027,14,14.757915330745135,1.8587018344491344,1.8952967832591958,1.6350521868576366
2015-03-30,2015-05-11,2015-05-11,RUSSIAN FEDERATION,Otoño,1.4081202651515152,14,10.651146592342338,1.4365056818181818,1.482723721590909,1.425
2015-03-30,2015-05-11,2015-05-11,SPAIN,Otoño,1.6341270595071151,14,13.481364214355594,1.6408094249194234,1.652543450670184,1.3067587613113192
2015-03-30,2015-05-11,2015-05-11,UNITED KINGDOM,Otoño,1.7960458589076218,14,12.928470328384934,1.7028586460890915,1.6734768073137614,1.8323308448308449
2015-04-06,2015-05-18,2015-05-18,BELGIUM,Otoño,2.570656809781064,15,9.957170489452313,1.9311875175184527,1.8747083420925597,2.529506564914443
2015-04-06,2015-05-18,2015-05-18,CANADA,Otoño,2.333333333333333,15,1.3862943611198906,1.9496423700668228,1.9496423700668228,1.7845982142857142
2015-04-06,2015-05-18,2015-05-18,CHILE,Otoño,0.600122432322133,15,9.595806833577658,1.9496423700668228,1.9496423700668228,1.80028543091786
2015-04-06,2015-05-18,2015-05-18,ECUADOR,Otoño,0.2,15,10.344351978996153,0.2,0.2,0.3006535947712418
2015-04-06,2015-05-18,2015-05-18,NETHERLANDS,Otoño,1.889489162995194,15,14.603174876681399,2.0203340108739027,1.93367190309062,1.583281799235138
2015-04-06,2015-05-18,2015-05-18,SPAIN,Otoño,1.5252553580199684,15,13.332429794506842,1.6341270595071151,1.6449180047864451,1.310103061032814
