fecha,precio_fob_usd_kg,region,provincia,rendimiento_kg_ha,porcentaje_vendido,tipo_conduccion_cultivo,margen_exportador_soles_kg
2023-09-01,1.3942642183502625,ANCASH,HUARAZ,8256.0,0.5087209302325582,Homogeneo,5.000777640518911
2023-06-01,1.4269870938975657,ANCASH,BOLOGNESI,7500.0,0.26666666666666666,Disperso,4.6012016021158715
2023-03-01,1.901566289163099,ANCASH,CASMA,13358.440407620736,0.9892537313432835,Homogeneo,6.527225159817674
2023-05-01,1.3097205876184328,ANCASH,CASMA,3809.523809523809,1.0,Homogeneo,2.411452203569123
2023-04-01,1.6730530153273977,ANCASH,CASMA,4000.0,0.94375,Disperso,5.440615474144408
2023-04-01,1.6730530153273977,ANCASH,CASMA,15000.0,0.94,Disperso,6.007282140811075
2023-12-01,2.1700770230141053,ANCASH,HUARI,15088.235294117647,0.9853801169590644,Homogeneo,7.3549428324042605
2023-03-01,1.901566289163099,ANCASH,HUARMEY,6733.333333333334,1.0,Asociado,6.794239920995285
2023-04-01,1.6730530153273977,ANCASH,HUARMEY,4114.285714285715,1.0,Homogeneo,3.426726585255519
2023-05-01,1.3097205876184328,ANCASH,HUAYLAS,2360.0,1.0,Homogeneo,3.2080623730606486
2023-01-01,1.6627289377289378,ANCASH,HUAYLAS,5250.0,1.0,Homogeneo,5.044757326007326
2023-03-01,1.901566289163099,ANCASH,OCROS,8500.0,0.9558823529411765,Homogeneo,6.2558735843616216
2023-03-01,1.901566289163099,ANCASH,OCROS,4800.0,0.16666666666666666,Homogeneo,6.089206917694955
2023-04-01,1.6730530153273977,ANCASH,OCROS,4281.207751239297,0.8631578947368421,Homogeneo,4.273948807477741
2023-02-01,1.8145020741957376,ANCASH,OCROS,7000.0,0.42857142857142855,Homogeneo,5.590097063948302
2023-07-01,1.482684824796564,ANCASH,PALLASCA,6000.0,1.0,Homogeneo,5.026734759653782
2023-03-01,1.901566289163099,ANCASH,PALLASCA,4035.8744394618834,0.9444444444444444,Homogeneo,4.375318028806066
2023-04-01,1.6730530153273977,ANCASH,PALLASCA,13007.672634271099,0.9976405819897759,Homogeneo,5.511463553840305
2023-04-01,1.6730530153273977,ANCASH,PALLASCA,8392.344497607655,0.6998289623717218,Homogeneo,5.320414029826658
