real,predicho,probabilidad_riesgo
0,0,0.42466350581907486
1,1,0.5242651727152575
0,0,0.07762589969924714
0,0,0.0848880431057385
0,0,0.22214857313520922
0,0,0.4225544360743594
0,0,0.03895758249742694
0,0,0.179177287955639
0,0,0.05012421503950023
0,0,0.1834050421586428
1,1,0.7503220345794364
1,1,0.6389818431568279
0,0,0.12321366157634282
0,0,0.03895758249742694
1,1,0.6992988096671371
1,1,0.8068995407787927
0,0,0.1459764684144496
0,0,0.27349120737646626
1,1,0.7658241763305739
0,0,0.046691596695992835
0,0,0.3168318171420753
0,0,0.060094764292765085
0,0,0.09937342112387854
0,0,0.010555269023500504
0,0,0.43330634758145287
0,0,0.1722642776417297
0,0,0.3881940267495269
0,0,0.016195146337010535
0,0,0.1100468680016073
1,1,0.6218636902588032
1,1,0.783122808221684
0,0,0.19476658451766113
1,0,0.38236961773295275
0,0,0.2174948836503758
0,0,0.1584630422658313
0,0,0.09991375217891484
0,0,0.18723069084475466
0,0,0.2388055075589026
1,0,0.4491129075898917
0,0,0.013685208880766742
0,0,0.048253353443187645
0,0,0.20896451928300352
0,0,0.3493606031379162
1,1,0.7245976056103478
0,0,0.1152602195325338
1,1,0.6303015263776518
0,0,0.04240322751292035
0,0,0.3749895394132034
0,0,0.09447121147023373
0,0,0.35964496646983796
0,0,0.2264685825219407
1,1,0.6607740152661401
0,0,0.2381749713943136
1,0,0.471005912778865
0,0,0.21654128582813217
0,0,0.22271183820436807
0,0,0.05899042794152393
0,0,0.10279408018952602
0,0,0.163184716510724
0,0,0.010555269023500504
0,0,0.03895758249742694
0,0,0.4189949916082536
0,0,0.09058072786131552
0,1,0.5788342219494338
0,0,0.14290195076534506
0,0,0.15911227361085808
0,0,0.216730213606298
0,1,0.6050596463021822
0,0,0.04585000868058547
0,1,0.620327103076336
1,1,0.8682791541022112
0,0,0.41368213218202626
0,0,0.27266578947432
1,1,0.7009744958388227
1,1,0.6774959073346142
0,0,0.31342519328093393
0,0,0.2715016428021998
0,0,0.1212825243824814
1,1,0.6486810829961068
0,0,0.009680258076676733
0,0,0.11960488620822288
0,0,0.07811539934679894
1,0,0.33786546804519196
0,1,0.5360984702601774
0,0,0.20378955624635922
1,1,0.6946205233895499
1,1,0.6685189137756707
0,0,0.25184474766617476
0,0,0.05870903185119552
0,0,0.04443815525688562
1,1,0.757448184547583
0,0,0.013065206479744301
0,0,0.059653337129686665
0,0,0.13435626380335963
0,0,0.2358643957177384
0,0,0.010555269023500504
1,0,0.4599849577739454
0,0,0.15323924337759945
0,0,0.1804784391521397
0,0,0.24210471857969432
1,1,0.7762434863334344
1,1,0.6552628560100476
0,0,0.15721959896245813
1,1,0.651286579191927
0,0,0.2119350477297051
0,0,0.07852995950857852
1,0,0.40612612284357724
0,1,0.6368937575353184
0,0,0.11547104292982312
0,0,0.010555269023500504
0,0,0.07091260865164481
0,1,0.5335292510175492
0,0,0.1965782375825325
0,0,0.046805263418106674
0,0,0.18228464834450508
1,1,0.7040295213277978
1,0,0.3809061270120894
0,1,0.5130288978613131
0,0,0.1147312557711722
0,0,0.013065206479744301
0,0,0.013590825823676503
0,0,0.0738524631036996
0,0,0.11547104292982312
1,1,0.5114485027856553
0,0,0.06489380443111659
0,0,0.20430804379364711
0,0,0.23155813818326132
1,0,0.3474048155314693
1,1,0.8842914003720468
0,0,0.10487852681906673
0,1,0.639672128903337
1,1,0.7306739685114506
0,0,0.46121388114410244
0,1,0.5406077160168489
1,1,0.672364037849203
0,0,0.43295072781810107
1,0,0.44712088348640294
0,0,0.09095852543500373
1,1,0.8433061423046081
0,0,0.3686696051758848
0,0,0.01374524380171567
0,0,0.22003771148981446
0,0,0.1243360552458739
0,0,0.41713623048097564
1,1,0.804350950906665
0,0,0.274078026997071
0,0,0.22627936889335212
