ANIO,CCDD,CCPP,CCDI,NSEGM,ID_PROD,UA,costo_total,produccion_kg,costo_por_kg,FACTOR_PRODUCTOR,es_outlier
2024,13,03,05,13596,03,03,1000.0,5000.0,0.2,10.00715,0
2024,13,03,05,13596,04,04,200.0,6000.0,0.03333333333333333,4.60722,0
2024,13,03,05,13596,05,05,1020.0,6500.0,0.15692307692307692,1.31014,0
2024,13,03,05,13597,04,04,14300.0,42000.0,0.3404761904761905,1.20757,0
2024,13,03,05,13599,01,01,40.0,160.0,0.25,60.77025,0
2024,13,02,06,13617,02,02,9500.0,5000.0,1.9,1.695573,1
2024,13,02,06,13619,02,02,5.0,70.0,0.07142857142857142,2.055855,0
2024,13,02,05,13620,13,13,15000.0,19000.0,0.7894736842105263,14.01437,0
2024,13,02,05,13621,05,05,1140.0,1210.0,0.9421487603305785,0.8978301,0
2024,13,01,10,13632,01,01,220.0,400.0,0.55,25.4191,0
2024,13,01,10,13634,01,01,960.0,8000.0,0.12,1.937292,0
2024,13,01,10,13634,02,02,1100.0,11500.0,0.09565217391304348,68.75026,0
2024,13,01,10,13634,03,03,1070.0,6600.0,0.1621212121212121,14.30688,0
2024,13,01,10,13636,01,01,5800.0,3012.0,1.9256308100929616,19.27113,1
2024,13,01,10,13636,02,02,815.0,600.0,1.3583333333333334,127.6974,0
2024,13,01,08,13639,02,02,6.0,800.0,0.0075,1.210637,0
2024,13,01,08,13639,07,07,2.0,180.0,0.011111111111111112,26.63935,0
2024,13,01,08,13639,09,09,99.0,140.0,0.7071428571428572,2.265149,0
2024,13,01,08,13639,10,10,100.0,200.0,0.5,2.880343,0
2024,13,01,08,13639,11,11,1200.0,2770.0,0.4332129963898917,4.619642,0
2024,13,01,08,13639,12,12,187.0,530.0,0.35283018867924526,1.968801,0
2024,13,01,06,13646,05,05,750.0,18000.0,0.041666666666666664,6.885287,0
2024,13,01,06,13646,12,12,1000.0,40000.0,0.025,18.45754,0
