ANIO,CCDD,CCPP,CCDI,CONGLOMERADO,NSELUA,UA,costo_total,produccion_kg,costo_por_kg,FACTOR_PRODUCTOR,es_outlier
2022,13,04,02,06990,00071,12,35.0,27.0,1.2962962962962963,50.7019607843137,1
2022,13,04,01,07004,00008,2,22.0,40.0,0.55,50.7019607843137,0
2022,13,04,01,07010,00085,11,90.0,200.0,0.45,50.7019607843137,0
2022,13,04,01,07010,00091,13,800.0,4040.0,0.19801980198019803,50.7019607843137,0
2022,13,02,05,07065,00086,10,500.0,3500.0,0.14285714285714285,50.7019607843137,0
2022,13,02,01,07079,00007,1,10.0,75.0,0.13333333333333333,50.7019607843137,0
2022,13,02,01,07079,00033,2,14500.0,21500.0,0.6744186046511628,50.7019607843137,0
2022,13,02,01,07079,00054,6,2800.0,6800.0,0.4117647058823529,50.7019607843137,0
2022,13,02,01,07079,00069,9,15.0,80.0,0.1875,50.7019607843137,0
2022,13,02,02,07085,00093,10,18.0,50.0,0.36,50.7019607843137,0
2022,13,02,02,07085,00101,11,11.0,50.0,0.22,50.7019607843137,0
2022,13,11,01,07117,00052,5,270.0,200.0,1.35,98.7176470588235,1
2022,13,11,02,07130,00061,8,45.0,2000.0,0.0225,98.7176470588235,0
2022,13,11,02,07130,00073,9,1300.0,3600.0,0.3611111111111111,98.7176470588235,0
2022,13,11,04,07143,00007,1,450.0,2170.0,0.2073732718894009,98.7176470588235,0
2022,13,11,04,07143,00012,2,760.0,2400.0,0.31666666666666665,98.7176470588235,0
2022,13,11,04,07143,00021,3,350.0,960.0,0.3645833333333333,98.7176470588235,0
2022,13,11,04,07143,00026,4,6430.0,10400.0,0.6182692307692308,98.7176470588235,0
2022,13,11,04,07143,00038,6,700.0,3147.0,0.22243406418811568,98.7176470588235,0
2022,13,11,04,07143,00040,7,350.0,437.5,0.8,98.7176470588235,0
2022,13,11,04,07143,00042,8,3000.0,8425.0,0.3560830860534125,98.7176470588235,0
2022,13,11,04,07143,00050,10,5000.0,8555.0,0.5844535359438925,98.7176470588235,0
2022,13,11,04,07143,00060,12,300.0,637.5,0.47058823529411764,98.7176470588235,0
2022,13,11,04,07143,00067,13,2500.0,7600.0,0.32894736842105265,98.7176470588235,0
2022,13,11,04,07143,00075,14,2000.0,11670.0,0.1713796058269066,98.7176470588235,0
2022,13,11,04,07143,00077,15,750.0,17680.0,0.04242081447963801,98.7176470588235,0
2022,13,11,04,07156,00033,3,30.0,216.0,0.1388888888888889,98.7176470588235,0
2022,13,11,04,07156,00074,9,55.0,225.0,0.24444444444444444,98.7176470588235,0
2022,13,11,04,07156,00091,13,5.0,150.0,0.03333333333333333,98.7176470588235,0
2022,13,11,04,07156,00096,15,10.0,54.0,0.18518518518518517,98.7176470588235,0
2022,13,06,06,07196,00015,2,100.0,1160.0,0.08620689655172414,98.7176470588235,0
2022,13,06,06,07196,00029,6,500.0,5250.0,0.09523809523809523,98.7176470588235,0
2022,13,06,04,07262,00027,4,5.0,230.0,0.021739130434782608,105.768907563025,0
2022,13,06,04,07262,00047,6,700.0,900.0,0.7777777777777778,105.768907563025,0
2022,13,06,04,07262,00061,9,5.0,80.0,0.0625,105.768907563025,0
2022,13,06,04,07262,00090,13,5.0,340.0,0.014705882352941176,105.768907563025,0
2022,13,06,04,07262,00102,15,1650.0,5020.0,0.3286852589641434,105.768907563025,0
2022,13,06,05,07275,00004,2,535.0,2054.0,0.26046738072054526,98.7176470588235,0
2022,13,06,05,07275,00016,4,1.0,10.0,0.1,98.7176470588235,0
2022,13,06,05,07275,00025,5,9.0,120.0,0.075,98.7176470588235,0
